following preceding probability_influence
1 4 0.04
1 16 -0.05
1 20 0.04
1 21 0.01
1 22 -0.01
1 24 -0.06
1 25 -0.01
1 30 -0.01
2 1 -0.01
2 4 -0.06
2 5 -0.05
2 8 -0.01
2 15 -0.06
2 16 0.00
2 18 -0.00
2 25 0.03
3 6 0.04
3 12 0.01
3 16 -0.05
3 27 0.03
3 28 -0.05
3 29 0.04
3 30 -0.02
4 2 -0.06
4 5 0.01
4 6 -0.06
4 8 0.01
4 11 -0.03
4 12 -0.04
4 16 -0.03
4 18 -0.01
4 19 -0.03
4 20 -0.06
4 22 -0.06
4 24 -0.01
5 3 -0.03
5 6 -0.03
5 7 0.02
5 14 -0.01
5 17 -0.04
5 23 0.03
5 24 0.01
6 10 -0.00
6 15 0.05
6 17 -0.00
6 18 -0.01
6 21 -0.03
6 26 -0.03
7 10 -0.00
7 11 -0.06
7 15 0.01
7 16 -0.01
7 23 0.01
8 1 -0.05
8 4 -0.04
8 5 0.04
8 20 0.02
8 24 0.02
8 27 -0.01
9 6 -0.05
9 8 -0.01
9 12 -0.01
9 13 -0.04
9 14 0.02
9 16 -0.03
9 27 -0.01
9 28 -0.00
9 29 -0.02
9 30 -0.04
10 1 -0.00
10 3 -0.04
10 6 -0.01
10 11 -0.03
10 14 0.01
10 19 -0.04
10 20 0.03
10 23 -0.04
10 24 -0.01
10 25 -0.01
10 27 0.05
10 29 0.02
11 2 0.05
11 3 0.02
11 8 -0.00
11 13 0.04
11 14 -0.02
11 22 -0.04
11 28 -0.01
12 1 0.03
12 6 -0.05
12 9 -0.03
12 11 -0.03
12 16 0.03
12 17 -0.03
12 18 -0.01
12 23 0.03
12 24 0.04
12 27 0.01
12 29 0.03
13 7 0.05
13 11 0.05
13 16 0.03
13 19 0.03
13 22 0.03
13 26 -0.01
13 30 -0.04
14 3 0.02
14 7 0.04
14 9 -0.05
14 17 -0.02
14 22 0.04
14 25 -0.01
14 29 0.05
15 1 -0.02
15 2 -0.01
15 3 0.04
15 6 -0.02
15 8 -0.03
15 12 0.02
15 18 -0.01
15 22 -0.04
15 26 -0.03
15 28 0.02
15 30 0.05
16 1 0.01
16 6 -0.06
16 12 0.01
16 15 -0.04
16 19 0.04
16 22 0.01
16 24 0.05
16 25 0.01
16 27 -0.05
17 2 0.02
17 4 -0.01
17 7 -0.05
17 14 -0.03
17 18 0.01
17 25 -0.04
17 28 0.05
17 29 -0.05
18 1 -0.00
18 2 -0.01
18 11 0.03
18 22 -0.06
18 26 -0.04
19 1 0.05
19 2 0.05
19 3 0.03
19 4 -0.04
19 7 0.04
19 8 -0.00
19 15 -0.05
19 17 0.02
19 30 0.03
20 2 0.02
20 5 -0.01
20 11 0.02
20 12 0.02
20 15 0.02
20 16 -0.03
20 19 0.04
20 21 -0.06
20 23 0.02
20 25 -0.05
20 28 -0.04
21 2 -0.05
21 3 -0.03
21 4 0.05
21 7 -0.02
21 11 -0.05
21 15 0.03
21 16 -0.01
21 17 0.00
21 22 -0.03
21 27 -0.03
22 2 0.01
22 4 0.04
22 5 0.02
22 6 0.04
22 7 -0.02
22 9 -0.00
22 14 -0.04
22 15 -0.01
22 18 0.03
22 19 -0.02
22 20 -0.04
22 21 -0.04
23 2 -0.05
23 10 0.01
23 12 0.02
23 17 -0.02
23 18 0.04
23 21 -0.03
23 25 0.05
23 29 0.00
24 3 -0.02
24 5 -0.04
24 6 -0.06
24 7 0.03
24 14 -0.01
24 20 -0.00
24 30 0.01
25 1 0.05
25 7 -0.00
25 9 -0.02
25 18 0.01
25 19 0.04
25 26 -0.01
25 27 -0.04
26 6 0.03
26 11 0.02
26 12 -0.05
26 13 0.04
26 14 0.01
26 16 0.02
26 17 0.01
26 27 0.04
26 28 0.02
26 29 -0.03
27 7 -0.05
27 11 0.02
27 13 0.00
27 20 0.04
27 23 -0.06
27 30 0.01
28 5 0.01
28 6 0.02
28 7 -0.03
28 11 0.01
28 14 0.03
28 15 -0.02
28 16 0.00
28 18 0.01
28 24 0.04
28 29 -0.01
28 30 0.02
29 1 0.01
29 6 0.02
29 9 0.00
29 20 -0.01
29 21 0.03
29 22 0.03
29 26 -0.01
29 28 -0.03
29 30 0.05
30 1 0.03
30 7 -0.05
30 10 -0.05
30 17 -0.06
30 23 0.01
30 27 -0.01
30 28 -0.03
