o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,output
0,23,24,22,9,11,8,6,10,13,2,29,7,26,30,15,14,28,3,4,19,21,17,20,25,1,16,12,18,27,0.46
23,24,22,9,11,8,6,10,13,2,29,7,26,30,15,14,28,3,4,19,21,17,20,25,1,16,12,18,27,5,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,0.45
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,0.47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,0.55
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,0.48
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,0.47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,0.44
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,0.36
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,0.46
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,0.58
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,0.49
0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,0.4
0,0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,0.59
0,0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,0.27
0,0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,25,0.52
0,0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,25,2,0.33999999999999997
0,0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,25,2,30,0.41000000000000003
0,0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,25,2,30,14,0.5700000000000001
0,0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,25,2,30,14,28,0.53
0,0,0,0,0,16,15,3,7,29,9,22,8,6,11,27,1,21,5,26,12,17,19,4,25,2,30,14,28,18,0.42
