following preceding probability_influence
1 6 -0.00
1 7 0.04
1 12 0.03
1 13 -0.01
1 14 0.03
1 19 0.02
2 3 0.04
2 5 -0.00
2 11 0.04
2 16 0.04
3 4 -0.04
3 6 0.04
3 9 -0.03
3 14 -0.01
3 16 -0.02
3 17 -0.02
3 18 -0.06
4 3 0.05
4 7 -0.03
5 1 0.03
5 4 0.02
5 9 -0.05
5 11 -0.05
5 15 0.05
5 16 0.00
5 17 -0.04
5 19 -0.06
5 20 -0.00
6 2 -0.06
6 4 0.01
6 5 0.02
6 8 0.02
6 14 -0.04
6 16 0.05
6 17 0.04
6 18 0.03
6 19 -0.03
6 20 0.03
7 5 0.01
7 9 -0.03
7 10 -0.03
7 16 0.02
7 17 0.04
7 19 -0.01
8 2 -0.04
8 4 -0.02
8 5 -0.05
8 12 0.03
8 13 -0.02
8 14 -0.01
8 17 0.01
8 20 -0.03
9 1 0.05
9 2 -0.03
9 4 -0.01
9 7 -0.01
9 12 -0.00
9 16 -0.05
9 18 -0.02
10 2 0.02
10 3 -0.05
10 8 -0.00
10 9 0.02
10 11 0.01
10 16 0.03
10 18 0.04
11 1 -0.05
11 2 0.03
11 3 -0.03
11 5 -0.04
11 8 -0.04
11 16 -0.03
11 17 0.03
12 3 -0.04
12 9 -0.04
12 15 0.02
13 5 0.03
13 6 -0.04
13 7 0.04
13 16 -0.01
13 17 0.05
13 19 0.03
13 20 0.04
14 4 0.00
14 5 0.02
14 6 -0.05
14 8 0.03
14 9 -0.02
14 15 0.04
14 17 -0.05
14 19 -0.01
14 20 0.05
15 6 -0.04
15 7 0.01
15 9 -0.00
15 13 -0.02
15 16 0.04
15 19 0.05
16 2 -0.01
16 3 -0.05
16 5 -0.03
16 6 -0.06
16 8 -0.04
16 10 -0.03
16 13 -0.01
16 14 -0.02
16 17 0.03
16 20 -0.04
17 6 -0.04
17 11 0.03
17 19 0.02
18 3 -0.04
18 4 -0.03
18 9 -0.05
18 14 -0.03
18 16 0.03
19 6 -0.04
19 7 0.01
19 17 0.01
20 1 0.03
20 4 -0.02
20 6 -0.02
20 9 -0.04
20 12 0.01
20 18 0.05
20 19 -0.01
